collocate,freq_collocate,freq_text,MI
pale,2,75,3.5424830800541347
yellow,1,38,3.5233742571064304
firm,6,230,3.510774220326797
earnest,1,39,3.4858995516877678
past,2,80,3.4493736756626534
served,1,40,3.4493736756626534
ordered,1,41,3.413749765931932
further,2,82,3.413749765931932
journey,1,41,3.413749765931932
written,1,42,3.3789843477712553
helped,1,42,3.3789843477712553
doorway,1,46,3.247739814493003
covered,1,48,3.1863392698288595
shoulder,1,48,3.1863392698288595
courtyard,1,48,3.1863392698288595
settled,1,51,3.0988764285785204
sharp,1,53,3.0433813159868164
stone,2,108,3.016414268386547
altogether,1,55,2.9899420570253565
paper,1,56,2.963946848492412
crossed,1,56,2.963946848492412
silver,2,114,2.938411756385274
gold,2,115,2.9258117196056403
leading,1,58,2.9133207754224433
manner,2,120,2.8644111749414973
arrived,1,60,2.8644111749414973
soft,2,122,2.8405644329871294
bottom,1,61,2.8405644329871294
alas,1,62,2.8171054601631407
subject,1,62,2.8171054601631407
bright,2,126,2.7940218470500997
letters,1,63,2.7940218470500997
turning,1,63,2.7940218470500997
around,2,127,2.7826170837778497
surprised,1,66,2.726907651191562
line,1,66,2.726907651191562
honest,1,68,2.6838389292996765
pain,1,69,2.6627773137718465
kindly,1,70,2.6420187536050492
conrad,1,75,2.542483080054135
account,1,75,2.542483080054135
looking,3,230,2.5107742203267964
shadow,1,77,2.5045152298551145
showed,1,80,2.4493736756626534
road,1,81,2.4314517676653913
golden,1,81,2.4314517676653913
house,4,325,2.4270058626341986
young,5,418,2.3858707333564952
friend,2,170,2.361910834412314
grave,1,86,2.345037015847918
wind,1,95,2.2014461622190677
worse,1,96,2.1863392698288595
tree,1,96,2.1863392698288595
says,1,97,2.171388928362888
standing,1,98,2.1565919264348077
free,1,100,2.1274455807752912
sort,1,100,2.1274455807752912
ground,1,100,2.1274455807752912
money,2,203,2.1059658533648395
walk,1,105,2.057056252883893
either,1,106,2.0433813159868164
entered,1,108,2.0164142683865474
bear,1,109,2.0031174457730896
sudden,1,109,2.0031174457730896
